lecture,slide_id,concept_disagreement,triple_disagreement
Lecture 12,Slide48,14,0
Lecture 12,Slide49,10,0
Lecture 12,Slide5,12,1
Lecture 12,Slide50,3,0
Lecture 12,Slide6,4,2
Lecture 12,Slide7,14,4
Lecture 12,Slide8,3,0
Lecture 12,Slide9,8,0
Lecture 13,Slide1,10,1
Lecture 13,Slide10,3,0
Lecture 13,Slide11,3,0
Lecture 13,Slide12,3,1
Lecture 13,Slide13,9,0
Lecture 13,Slide14,9,1
Lecture 13,Slide15,3,0
Lecture 13,Slide16,3,0
Lecture 13,Slide17,7,1
Lecture 13,Slide18,3,1
Lecture 13,Slide19,3,0
Lecture 13,Slide2,15,1
Lecture 13,Slide20,11,1
Lecture 13,Slide21,3,0
Lecture 13,Slide22,10,0
Lecture 13,Slide23,3,1
Lecture 13,Slide24,3,0
Lecture 13,Slide25,18,0
Lecture 13,Slide26,9,0
Lecture 13,Slide27,3,0
Lecture 13,Slide28,9,0
Lecture 13,Slide29,2,0
Lecture 13,Slide3,8,1
Lecture 13,Slide30,3,0
Lecture 13,Slide31,13,0
Lecture 13,Slide32,14,1
Lecture 13,Slide33,7,0
Lecture 13,Slide34,3,0
Lecture 13,Slide35,7,2
Lecture 13,Slide36,10,1
Lecture 13,Slide37,8,2
Lecture 13,Slide38,13,0
Lecture 13,Slide39,10,0
Lecture 13,Slide4,3,2
Lecture 13,Slide40,12,1
Lecture 13,Slide41,7,0
Lecture 13,Slide42,18,2
Lecture 13,Slide43,10,0
Lecture 13,Slide44,8,0
Lecture 13,Slide45,12,0
Lecture 13,Slide46,9,1
Lecture 13,Slide47,5,1
Lecture 13,Slide48,3,0
Lecture 13,Slide49,3,2
Lecture 13,Slide5,9,0
Lecture 13,Slide50,7,1
Lecture 13,Slide6,4,2
Lecture 13,Slide7,3,0
Lecture 13,Slide8,14,1
Lecture 13,Slide9,3,1
Lecture 14,Slide1,7,1
Lecture 14,Slide10,11,1
Lecture 14,Slide11,4,0
Lecture 14,Slide12,10,0
Lecture 14,Slide13,10,0
Lecture 14,Slide14,11,0
Lecture 14,Slide15,7,4
Lecture 14,Slide16,13,3
Lecture 14,Slide17,17,2
Lecture 14,Slide18,10,2
Lecture 14,Slide19,22,1
Lecture 14,Slide2,4,2
Lecture 14,Slide20,10,0
Lecture 14,Slide21,15,3
Lecture 14,Slide22,12,2
Lecture 14,Slide23,11,0
Lecture 14,Slide24,9,4
Lecture 14,Slide25,10,3
Lecture 14,Slide26,4,0
Lecture 14,Slide27,4,1
Lecture 14,Slide28,3,1
Lecture 14,Slide29,18,0
Lecture 14,Slide3,10,0
Lecture 14,Slide30,14,0
Lecture 14,Slide31,12,3
Lecture 14,Slide32,4,0
Lecture 14,Slide33,4,1
Lecture 14,Slide34,9,2
Lecture 14,Slide35,4,0
Lecture 14,Slide36,4,0
Lecture 14,Slide37,5,2
Lecture 14,Slide38,22,2
Lecture 14,Slide39,4,1
Lecture 14,Slide4,12,2
Lecture 14,Slide40,10,1
Lecture 14,Slide41,12,3
Lecture 14,Slide42,4,0
Lecture 14,Slide43,12,2
Lecture 14,Slide44,5,3
Lecture 14,Slide45,8,0
Lecture 14,Slide46,4,3
Lecture 14,Slide47,11,1
Lecture 14,Slide48,16,0
Lecture 14,Slide49,4,3
Lecture 14,Slide5,9,1
Lecture 14,Slide50,6,1
Lecture 14,Slide51,11,3
Lecture 14,Slide52,9,1
Lecture 14,Slide53,9,3
Lecture 14,Slide54,3,3
Lecture 14,Slide55,11,3
Lecture 14,Slide56,3,1
Lecture 14,Slide57,10,3
Lecture 14,Slide58,8,1
Lecture 14,Slide59,10,2
Lecture 14,Slide6,11,2
Lecture 14,Slide60,4,2
Lecture 14,Slide7,10,3
Lecture 14,Slide8,4,0
Lecture 14,Slide9,13,0
Lecture 15,Slide1,9,1
Lecture 15,Slide10,4,0
Lecture 15,Slide11,10,2
Lecture 15,Slide12,10,0
Lecture 15,Slide13,4,5
Lecture 15,Slide14,10,0
Lecture 15,Slide15,4,0
Lecture 15,Slide16,13,0
Lecture 15,Slide17,21,2
Lecture 15,Slide18,11,0
Lecture 15,Slide19,4,0
Lecture 15,Slide2,14,4
Lecture 15,Slide20,10,0
Lecture 15,Slide21,18,4
Lecture 15,Slide22,10,0
Lecture 15,Slide23,10,1
Lecture 15,Slide24,11,0
Lecture 15,Slide25,9,1
Lecture 15,Slide26,14,3
Lecture 15,Slide27,12,0
Lecture 15,Slide28,17,2
Lecture 15,Slide29,14,2
Lecture 15,Slide3,11,4
Lecture 15,Slide30,14,2
Lecture 15,Slide4,11,2
Lecture 15,Slide5,4,0
Lecture 15,Slide6,15,3
Lecture 15,Slide7,9,0
Lecture 15,Slide8,16,0
Lecture 15,Slide9,6,3
Lecture 16,Slide1,14,0
Lecture 16,Slide10,4,1
Lecture 16,Slide11,4,2
Lecture 16,Slide12,5,2
Lecture 16,Slide13,12,1
Lecture 16,Slide14,4,1
Lecture 16,Slide15,10,1
Lecture 16,Slide16,3,0
Lecture 16,Slide17,4,1
Lecture 16,Slide18,4,1
Lecture 16,Slide19,4,2
Lecture 16,Slide2,11,1
Lecture 16,Slide20,9,2
Lecture 16,Slide21,4,0
Lecture 16,Slide22,3,5
Lecture 16,Slide23,8,0
Lecture 16,Slide24,10,1
Lecture 16,Slide25,0,0
Lecture 16,Slide26,10,0
Lecture 16,Slide27,7,5
Lecture 16,Slide28,4,0
Lecture 16,Slide29,10,0
Lecture 16,Slide3,7,0
Lecture 16,Slide30,11,0
Lecture 16,Slide31,4,1
Lecture 16,Slide32,14,8
Lecture 16,Slide33,12,0
Lecture 16,Slide34,4,1
Lecture 16,Slide35,10,1
Lecture 16,Slide36,3,2
Lecture 16,Slide37,4,0
Lecture 16,Slide38,10,3
Lecture 16,Slide39,4,2
Lecture 16,Slide4,8,1
Lecture 16,Slide40,3,0
Lecture 16,Slide41,11,2
Lecture 16,Slide42,12,3
Lecture 16,Slide43,14,2
Lecture 16,Slide44,10,3
Lecture 16,Slide45,4,0
Lecture 16,Slide46,4,1
Lecture 16,Slide47,4,1
Lecture 16,Slide48,4,6
Lecture 16,Slide49,4,2
Lecture 16,Slide5,10,0
Lecture 16,Slide50,16,3
Lecture 16,Slide51,4,1
Lecture 16,Slide52,4,1
Lecture 16,Slide53,9,3
Lecture 16,Slide54,14,0
Lecture 16,Slide55,12,0
Lecture 16,Slide6,4,1
Lecture 16,Slide7,4,0
Lecture 16,Slide8,4,1
Lecture 16,Slide9,11,1
Lecture 17,Slide1,9,2
Lecture 17,Slide10,4,0
Lecture 17,Slide11,4,0
Lecture 17,Slide12,3,4
Lecture 17,Slide13,4,0
Lecture 17,Slide14,11,1
Lecture 17,Slide15,11,0
Lecture 17,Slide16,14,1
Lecture 17,Slide17,12,2
Lecture 17,Slide18,16,1
Lecture 17,Slide19,18,2
Lecture 17,Slide2,1,4
Lecture 17,Slide20,4,1
Lecture 17,Slide21,3,0
Lecture 17,Slide22,4,0
Lecture 17,Slide23,4,1
Lecture 17,Slide24,4,1
Lecture 17,Slide25,21,0
Lecture 17,Slide26,4,1
Lecture 17,Slide27,4,4
Lecture 17,Slide28,7,0
Lecture 17,Slide29,13,3
Lecture 17,Slide3,4,1
Lecture 17,Slide30,11,4
Lecture 17,Slide31,11,0
Lecture 17,Slide32,2,1
Lecture 17,Slide33,3,0
Lecture 17,Slide34,17,0
Lecture 17,Slide35,11,1
Lecture 17,Slide36,10,0
Lecture 17,Slide37,4,0
Lecture 17,Slide38,11,0
Lecture 17,Slide39,15,4
Lecture 17,Slide4,12,2
Lecture 17,Slide40,14,4
Lecture 17,Slide41,4,2
Lecture 17,Slide42,15,1
Lecture 17,Slide43,5,0
Lecture 17,Slide44,11,2
Lecture 17,Slide45,11,4
Lecture 17,Slide46,9,2
Lecture 17,Slide47,15,0
Lecture 17,Slide48,10,0
Lecture 17,Slide49,13,0
Lecture 17,Slide5,4,1
Lecture 17,Slide50,8,0
Lecture 17,Slide51,3,0
Lecture 17,Slide52,4,3
Lecture 17,Slide53,15,0
Lecture 17,Slide54,11,2
Lecture 17,Slide55,7,0
Lecture 17,Slide6,4,4
Lecture 17,Slide7,10,1
Lecture 17,Slide8,8,0
Lecture 17,Slide9,4,1
Lecture 18,Slide1,7,0
Lecture 18,Slide10,9,0
Lecture 18,Slide11,14,1
Lecture 18,Slide12,16,3
Lecture 18,Slide13,9,0
Lecture 18,Slide14,10,5
Lecture 18,Slide15,18,1
Lecture 18,Slide16,15,0
Lecture 18,Slide17,8,3
Lecture 18,Slide18,12,1
Lecture 18,Slide19,10,1
Lecture 18,Slide2,5,1
Lecture 18,Slide20,11,0
Lecture 18,Slide21,8,2
Lecture 18,Slide22,9,1
Lecture 18,Slide23,4,0
Lecture 18,Slide24,3,0
Lecture 18,Slide25,4,1
Lecture 18,Slide26,12,1
Lecture 18,Slide27,10,2
Lecture 18,Slide28,9,2
Lecture 18,Slide29,10,1
Lecture 18,Slide3,6,3
Lecture 18,Slide30,4,2
Lecture 18,Slide31,10,2
Lecture 18,Slide32,12,4
Lecture 18,Slide33,14,0
Lecture 18,Slide34,11,1
Lecture 18,Slide35,10,0
Lecture 18,Slide36,4,1
Lecture 18,Slide37,4,0
Lecture 18,Slide38,3,1
Lecture 18,Slide39,11,1
Lecture 18,Slide4,3,2
Lecture 18,Slide40,10,3
Lecture 18,Slide41,4,1
Lecture 18,Slide42,3,1
Lecture 18,Slide43,4,2
Lecture 18,Slide44,4,3
Lecture 18,Slide45,11,2
Lecture 18,Slide46,11,1
Lecture 18,Slide47,11,3
Lecture 18,Slide48,4,1
Lecture 18,Slide49,3,1
Lecture 18,Slide5,9,0
Lecture 18,Slide50,12,0
Lecture 18,Slide51,4,2
Lecture 18,Slide52,4,0
Lecture 18,Slide53,4,0
Lecture 18,Slide54,4,2
Lecture 18,Slide55,4,1
Lecture 18,Slide6,4,2
Lecture 18,Slide7,4,1
Lecture 18,Slide8,18,2
Lecture 18,Slide9,12,0
Lecture 19,Slide1,3,0
Lecture 19,Slide10,3,1
Lecture 19,Slide11,3,1
Lecture 19,Slide12,3,2
Lecture 19,Slide13,5,2
Lecture 19,Slide14,3,0
Lecture 19,Slide15,8,1
Lecture 19,Slide16,18,4
Lecture 19,Slide17,9,1
Lecture 19,Slide18,9,0
Lecture 19,Slide19,3,1
Lecture 19,Slide2,7,1
Lecture 19,Slide20,12,2
Lecture 19,Slide21,3,0
Lecture 19,Slide22,3,1
Lecture 19,Slide23,6,1
Lecture 19,Slide24,3,1
Lecture 19,Slide25,3,0
Lecture 19,Slide26,3,2
Lecture 19,Slide27,3,0
Lecture 19,Slide28,8,0
Lecture 19,Slide29,3,1
Lecture 19,Slide3,11,1
Lecture 19,Slide30,11,0
Lecture 19,Slide31,7,0
Lecture 19,Slide32,3,0
Lecture 19,Slide33,3,0
Lecture 19,Slide34,15,0
Lecture 19,Slide35,3,0
Lecture 19,Slide36,3,1
Lecture 19,Slide37,3,1
Lecture 19,Slide38,3,0
Lecture 19,Slide39,3,0
Lecture 19,Slide4,3,0
Lecture 19,Slide40,3,0
Lecture 19,Slide41,3,0
Lecture 19,Slide42,3,1
Lecture 19,Slide43,2,0
Lecture 19,Slide44,7,0
Lecture 19,Slide45,8,1
Lecture 19,Slide46,11,1
Lecture 19,Slide47,3,0
Lecture 19,Slide48,3,1
Lecture 19,Slide49,11,0
Lecture 19,Slide5,11,1
Lecture 19,Slide50,3,1
Lecture 19,Slide51,3,0
Lecture 19,Slide52,3,1
Lecture 19,Slide53,2,0
Lecture 19,Slide54,11,0
Lecture 19,Slide55,4,0
Lecture 19,Slide6,7,1
Lecture 19,Slide7,3,0
Lecture 19,Slide8,3,0
Lecture 19,Slide9,3,0
Lecture 2,Slide1,7,3
Lecture 2,Slide10,13,1
Lecture 2,Slide11,4,0
Lecture 2,Slide12,9,0
Lecture 2,Slide13,8,1
Lecture 2,Slide14,13,1
Lecture 2,Slide15,22,1
Lecture 2,Slide16,14,0
Lecture 2,Slide17,7,1
Lecture 2,Slide18,8,3
Lecture 2,Slide19,4,2
Lecture 2,Slide2,2,0
Lecture 2,Slide20,8,0
Lecture 2,Slide21,9,0
Lecture 2,Slide22,15,2
Lecture 2,Slide23,10,1
Lecture 2,Slide24,17,1
Lecture 2,Slide25,12,1
Lecture 2,Slide26,11,0
Lecture 2,Slide27,12,2
Lecture 2,Slide28,9,5
Lecture 2,Slide29,9,4
Lecture 2,Slide3,15,2
Lecture 2,Slide30,10,0
Lecture 2,Slide31,2,1
Lecture 2,Slide32,8,6
Lecture 2,Slide33,21,4
Lecture 2,Slide34,11,0
Lecture 2,Slide35,23,0
Lecture 2,Slide36,5,4
Lecture 2,Slide37,9,1
Lecture 2,Slide38,13,0
Lecture 2,Slide39,9,1
Lecture 2,Slide4,7,2
Lecture 2,Slide40,13,2
Lecture 2,Slide41,8,3
Lecture 2,Slide42,12,1
Lecture 2,Slide43,13,2
Lecture 2,Slide44,11,4
Lecture 2,Slide45,6,0
Lecture 2,Slide46,14,1
Lecture 2,Slide47,9,0
Lecture 2,Slide48,4,0
Lecture 2,Slide49,13,0
Lecture 2,Slide5,12,0
Lecture 2,Slide50,10,0
Lecture 2,Slide6,9,0
Lecture 2,Slide7,10,2
Lecture 2,Slide8,5,0
Lecture 2,Slide9,14,0
Lecture 20,Slide1,11,0
Lecture 20,Slide10,4,2
Lecture 20,Slide11,4,4
Lecture 20,Slide12,4,3
Lecture 20,Slide13,4,2
Lecture 20,Slide14,4,0
Lecture 20,Slide15,4,0
Lecture 20,Slide16,4,0
Lecture 20,Slide17,4,1
Lecture 20,Slide18,4,0
Lecture 20,Slide19,4,0
Lecture 20,Slide2,9,0
Lecture 20,Slide20,4,1
Lecture 20,Slide21,4,1
Lecture 20,Slide22,4,0
Lecture 20,Slide23,4,3
Lecture 20,Slide24,4,1
Lecture 20,Slide25,4,0
Lecture 20,Slide26,4,1
Lecture 20,Slide27,3,3
Lecture 20,Slide28,4,3
Lecture 20,Slide29,4,2
Lecture 20,Slide3,4,0
Lecture 20,Slide30,4,0
Lecture 20,Slide31,4,1
Lecture 20,Slide32,4,3
Lecture 20,Slide33,4,0
Lecture 20,Slide34,11,0
Lecture 20,Slide35,10,2
Lecture 20,Slide36,9,0
Lecture 20,Slide37,9,3
Lecture 20,Slide38,9,0
Lecture 20,Slide39,3,0
Lecture 20,Slide4,3,2
Lecture 20,Slide40,4,1
Lecture 20,Slide41,4,2
Lecture 20,Slide42,6,0
Lecture 20,Slide43,4,1
Lecture 20,Slide44,13,0
Lecture 20,Slide45,11,2
Lecture 20,Slide46,9,1
Lecture 20,Slide47,10,0
Lecture 20,Slide48,4,0
Lecture 20,Slide49,3,0
Lecture 20,Slide5,3,0
Lecture 20,Slide50,0,0
Lecture 20,Slide51,0,0
Lecture 20,Slide52,4,4
Lecture 20,Slide53,3,1
Lecture 20,Slide54,4,0
Lecture 20,Slide55,19,2
Lecture 20,Slide6,4,1
Lecture 20,Slide7,4,1
Lecture 20,Slide8,4,0
Lecture 20,Slide9,3,3
Lecture 21,Slide1,9,2
Lecture 21,Slide10,11,0
Lecture 21,Slide11,15,3
Lecture 21,Slide12,12,0
Lecture 21,Slide13,7,0
Lecture 21,Slide14,12,0
Lecture 21,Slide15,4,3
Lecture 21,Slide16,4,3
Lecture 21,Slide17,4,1
Lecture 21,Slide18,9,3
Lecture 21,Slide19,4,0
Lecture 21,Slide2,5,0
Lecture 21,Slide20,4,1
Lecture 21,Slide21,3,0
Lecture 21,Slide22,14,0
Lecture 21,Slide23,4,1
Lecture 21,Slide24,4,0
Lecture 21,Slide25,4,1
Lecture 21,Slide26,13,0
Lecture 21,Slide27,12,0
Lecture 21,Slide28,8,1
Lecture 21,Slide29,3,1
Lecture 21,Slide3,3,0
Lecture 21,Slide30,12,1
Lecture 21,Slide31,4,0
Lecture 21,Slide32,4,5
Lecture 21,Slide33,12,0
Lecture 21,Slide34,4,1
Lecture 21,Slide35,12,0
Lecture 21,Slide36,11,0
Lecture 21,Slide37,12,1
Lecture 21,Slide38,4,3
Lecture 21,Slide39,9,3
Lecture 21,Slide4,3,1
Lecture 21,Slide40,4,1
Lecture 21,Slide41,4,1
Lecture 21,Slide42,4,0
Lecture 21,Slide43,4,4
Lecture 21,Slide5,3,4
Lecture 21,Slide6,11,2
Lecture 21,Slide7,3,1
Lecture 21,Slide8,10,1
Lecture 21,Slide9,16,0
Lecture 22,Slide1,15,3
Lecture 22,Slide10,13,0
Lecture 22,Slide11,12,0
Lecture 22,Slide12,12,1
Lecture 22,Slide13,10,1
Lecture 22,Slide14,10,0
Lecture 22,Slide15,12,1
Lecture 22,Slide16,3,3
Lecture 22,Slide17,9,2
Lecture 22,Slide18,9,2
Lecture 22,Slide19,4,2
Lecture 22,Slide2,10,1
Lecture 22,Slide20,8,1
Lecture 22,Slide21,14,2
Lecture 22,Slide22,4,4
Lecture 22,Slide23,4,1
Lecture 22,Slide24,4,0
Lecture 22,Slide25,4,0
Lecture 22,Slide26,3,0
Lecture 22,Slide27,20,3
Lecture 22,Slide28,4,5
Lecture 22,Slide29,8,3
Lecture 22,Slide3,4,0
Lecture 22,Slide30,12,0
Lecture 22,Slide31,10,0
Lecture 22,Slide32,3,1
Lecture 22,Slide33,4,0
Lecture 22,Slide34,4,0
Lecture 22,Slide35,10,5
Lecture 22,Slide36,3,0
Lecture 22,Slide37,10,2
Lecture 22,Slide38,4,3
Lecture 22,Slide39,5,0
Lecture 22,Slide4,0,0
Lecture 22,Slide40,12,0
Lecture 22,Slide41,11,1
Lecture 22,Slide42,4,1
Lecture 22,Slide43,4,0
Lecture 22,Slide44,4,0
Lecture 22,Slide45,7,0
Lecture 22,Slide5,4,0
Lecture 22,Slide6,4,1
Lecture 22,Slide7,4,0
Lecture 22,Slide8,10,0
Lecture 22,Slide9,12,3
Lecture 23,Slide1,5,1
Lecture 23,Slide10,14,0
Lecture 23,Slide11,3,5
Lecture 23,Slide12,12,3
Lecture 23,Slide13,12,2
Lecture 23,Slide14,9,1
Lecture 23,Slide15,9,4
Lecture 23,Slide16,11,0
Lecture 23,Slide17,4,0
Lecture 23,Slide18,4,0
Lecture 23,Slide19,14,0
Lecture 23,Slide2,11,1
Lecture 23,Slide20,4,1
Lecture 23,Slide21,12,1
Lecture 23,Slide22,8,0
Lecture 23,Slide23,4,1
Lecture 23,Slide24,4,2
Lecture 23,Slide25,4,4
Lecture 23,Slide26,4,0
Lecture 23,Slide27,13,4
Lecture 23,Slide28,9,3
Lecture 23,Slide29,3,0
Lecture 23,Slide3,4,0
Lecture 23,Slide30,7,0
Lecture 23,Slide31,4,0
Lecture 23,Slide32,9,0
Lecture 23,Slide33,4,1
Lecture 23,Slide34,4,2
Lecture 23,Slide35,13,2
Lecture 23,Slide36,4,1
Lecture 23,Slide37,4,2
Lecture 23,Slide38,4,0
Lecture 23,Slide39,4,0
Lecture 23,Slide4,7,0
Lecture 23,Slide40,4,0
Lecture 23,Slide41,10,1
Lecture 23,Slide42,4,0
Lecture 23,Slide43,12,4
Lecture 23,Slide44,6,2
Lecture 23,Slide45,4,0
Lecture 23,Slide46,3,0
Lecture 23,Slide47,4,0
Lecture 23,Slide48,4,0
Lecture 23,Slide49,10,3
Lecture 23,Slide5,4,0
Lecture 23,Slide50,14,3
Lecture 23,Slide6,4,0
Lecture 23,Slide7,3,0
Lecture 23,Slide8,4,2
Lecture 23,Slide9,3,0
Lecture 3,Slide1,7,1
Lecture 3,Slide10,4,4
Lecture 3,Slide11,4,3
Lecture 3,Slide12,14,4
Lecture 3,Slide13,14,4
Lecture 3,Slide14,9,2
Lecture 3,Slide15,8,2
Lecture 3,Slide16,6,1
Lecture 3,Slide17,8,0
Lecture 3,Slide18,10,1
Lecture 3,Slide19,17,2
Lecture 3,Slide2,5,0
Lecture 3,Slide20,11,0
Lecture 3,Slide21,16,1
Lecture 3,Slide22,9,2
Lecture 3,Slide23,12,0
Lecture 3,Slide24,9,1
Lecture 3,Slide25,12,0
Lecture 3,Slide26,17,0
Lecture 3,Slide27,6,3
Lecture 3,Slide28,14,2
Lecture 3,Slide29,15,2
Lecture 3,Slide3,6,3
Lecture 3,Slide30,12,1
Lecture 3,Slide31,13,1
Lecture 3,Slide32,4,1
Lecture 3,Slide33,14,2
Lecture 3,Slide34,10,1
Lecture 3,Slide35,11,1
Lecture 3,Slide36,8,1
Lecture 3,Slide37,13,5
Lecture 3,Slide38,10,0
Lecture 3,Slide39,7,0
Lecture 3,Slide4,19,0
Lecture 3,Slide40,6,0
Lecture 3,Slide5,9,1
Lecture 3,Slide6,7,3
Lecture 3,Slide7,9,0
Lecture 3,Slide8,9,0
Lecture 3,Slide9,4,1
Lecture 4,Slide1,5,0
Lecture 4,Slide10,8,1
Lecture 4,Slide11,8,0
Lecture 4,Slide12,10,0
Lecture 4,Slide13,9,3
Lecture 4,Slide14,9,2
Lecture 4,Slide15,9,1
Lecture 4,Slide16,6,2
Lecture 4,Slide17,13,4
Lecture 4,Slide18,8,3
Lecture 4,Slide19,14,2
Lecture 4,Slide2,2,0
Lecture 4,Slide20,13,2
Lecture 4,Slide21,4,3
